times,price,index
1556063912524.0,66.42,0.9445267544599932
1556064812629.0,66.42,0.9423778925728865
1556065717871.0,67.41,0.9122712159728061
1556066612990.0,67.41,0.8864768849027681
1556067511100.0,67.22,0.8818762822349252
1556068410148.0,67.22,0.8540660428195342
1556069309423.0,67.07,0.8608549042262706
1556070208898.0,67.12,0.8683689175711095
1556071114899.0,67.27,0.8656181247689023
1556072009484.0,66.96,0.9009799096603759
1556072911417.0,66.96,0.9126470858707274
1556073811972.0,66.96,0.9068304538980225
1556074709333.0,66.89,0.9071403130081048
1556075613581.0,66.99,0.9030435184146637
1556076515256.0,67.0,0.8921984149385109
1556077406865.0,67.0,0.8862128566645185
1556078307200.0,67.48,0.8881630830159464
1556079207768.0,67.12,0.9050717517913677
1556080108208.0,67.12,0.9016740862621904
1556081012527.0,67.12,0.9098400376235245
1556081910577.0,67.03,0.8909862490177245
1556082809876.0,67.11,0.8811835277533424
1556083710538.0,67.09,0.8788476035790227
1556084617582.0,66.9,0.8805415268126776
1556085512191.0,66.9,0.9082040717817083
1556086412054.0,66.9,0.9108375996643711
1556087311416.0,66.9,0.9249075948921772
1556088210579.0,67.0,0.9355014437369478
1556089113357.0,66.79,0.9369210578411953
1556090010052.0,66.88,0.9526027914053089
1556090911829.0,66.87,0.9262169689251529
1556091808865.0,66.5,0.950473915276033
1556092710928.0,66.01,0.9716859612874014
1556093614510.0,64.45,1.0608891314582032
1556094522535.0,63.79,1.0756954982791345
1556095413597.0,63.79,1.1053597075117525
1556096307808.0,64.53,1.059081512966699
1556097210691.0,64.53,1.047373256553477
1556098110737.0,64.53,1.0386107730250336
1556099010412.0,64.53,1.0536797609803834
1556099910239.0,64.59,1.0468363182433666
1556100810690.0,64.35,1.070097590355704
1556101708804.0,64.45,1.0681854282391539
1556102610171.0,64.11,1.0723438926093765
1556103509362.0,64.11,1.0832556029217573
1556104408277.0,63.58,1.097620130303263
1556105312033.0,63.58,1.0983237475245269
1556106211721.0,63.87,1.0894375122376156
1556107112130.0,63.87,1.0964032279659346
1556108011647.0,64.37,1.0827109643100512
1556108913155.0,64.37,1.0922456570166441
1556109812941.0,64.74,1.0746904970988689
1556110714845.0,64.88,1.0665752486817237
1556111614951.0,64.83,1.068214547327898
1556112512828.0,64.8,1.0374448186630585
1556113417337.0,64.73,1.0454673376389432
1556114312076.0,64.46,1.0560958650417744
1556115210437.0,64.12,1.0900491866324042
1556116111368.0,64.37,1.089433568502289
1556117012815.0,64.43,1.083542475027661
1556117916521.0,64.62,1.0738145852500647
1556118815634.0,64.26,1.083776880082225
1556119716025.0,64.44,1.0856156222210145
1556120611510.0,64.45,1.0832771678544042
1556121510016.0,64.45,1.0682671335926985
1556122430596.0,64.64,1.0613765111888056
1556123327340.0,64.64,1.0599285288819136
1556124231380.0,63.66,1.097077839636298
1556125127834.0,63.0,1.122435440045837
1556126087842.0,63.27,1.111491893524288
1556126970552.0,63.33,1.1087788497778772
1556127828283.0,63.33,1.0167266116076477
1556128742719.0,63.07,1.0217428090204932
1556129650556.0,62.96,1.0238057642141274
1556130520516.0,62.67,1.0458724174469545
1556131449187.0,62.43,1.0563496117749318
1556132319823.0,62.43,1.0431027583532315
1556133223690.0,62.98,1.0264641714480687
1556134116543.0,63.5,0.9993480268920145
1556135019475.0,63.59,0.9888102223314605
1556135918998.0,63.59,0.9907368404486313
1556136833241.0,63.59,1.0054638566700949
1556137736007.0,63.94,0.9586851610906734
1556138642085.0,64.15,0.9545608013738535
1556139546898.0,64.12,0.9446639817418169
1556140438294.0,64.07,0.9424997030257657
1556141339671.0,64.07,0.9472402614131233
1556142230136.0,63.83,0.9621552532852721
1556143125899.0,63.83,0.9503002510678477
1556144048132.0,63.83,0.9560771063030349
1556144931156.0,63.83,0.9498494388885206
1556145851123.0,64.47,0.9283966903298813
1556146725507.0,64.41,0.9371450025582841
1556147648893.0,64.71,0.928975748811549
1556148525973.0,64.77,0.9542511510125425
1556149432099.0,64.12,0.9793622587622436
